Image type	Feature Class	Feature Name	ROI_segment_Mass
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.5.0
diagnostics	Versions	Python	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Wavelet': {}}
diagnostics	Image-original	Hash	006a531b6aec03db1d18fbd45626c8e3476c11d7
diagnostics	Image-original	Dimensionality	3D
diagnostics	Image-original	Spacing	(0.7031, 0.7031, 2.1)
diagnostics	Image-original	Size	(512, 512, 116)
diagnostics	Image-original	Mean	37.06927809221991
diagnostics	Image-original	Minimum	-53.0
diagnostics	Image-original	Maximum	903.0
diagnostics	Mask-original	Hash	12e63d33fabd00823ee2177f577b0928cc641801
diagnostics	Mask-original	Spacing	(0.7031, 0.7031, 2.1)
diagnostics	Mask-original	Size	(512, 512, 116)
diagnostics	Mask-original	BoundingBox	(357, 445, 37, 13, 16, 5)
diagnostics	Mask-original	VoxelNum	392
diagnostics	Mask-original	VolumeNum	1
diagnostics	Mask-original	CenterOfMassIndex	(362.66326530612247, 452.3290816326531, 39.29336734693877)
diagnostics	Mask-original	CenterOfMass	(-72.69354183673471, -142.2865772959183, -40.18492857142857)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(21, 23, 23)
diagnostics	Image-interpolated	Mean	64.51471779638132
diagnostics	Image-interpolated	Minimum	-2.0
diagnostics	Image-interpolated	Maximum	255.0
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(21, 23, 23)
diagnostics	Mask-interpolated	BoundingBox	(6, 7, 7, 9, 10, 10)
diagnostics	Mask-interpolated	VoxelNum	398
diagnostics	Mask-interpolated	VolumeNum	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(9.703517587939698, 10.969849246231156, 12.042713567839195)
diagnostics	Mask-interpolated	CenterOfMass	(-72.55696758793971, -142.3722992462311, -40.20828643216078)
diagnostics	Mask-interpolated	Mean	182.50502512562815
diagnostics	Mask-interpolated	Minimum	88.0
diagnostics	Mask-interpolated	Maximum	255.0
original	shape	Elongation	0.8289600151951538
original	shape	Flatness	0.6934039232521754
original	shape	LeastAxisLength	7.203985404450762
original	shape	MajorAxisLength	10.38930580413061
original	shape	Maximum2DDiameterColumn	10.770329614269007
original	shape	Maximum2DDiameterRow	11.661903789690601
original	shape	Maximum2DDiameterSlice	12.206555615733702
original	shape	Maximum3DDiameter	13.74772708486752
original	shape	MeshVolume	386.6666666666667
original	shape	MinorAxisLength	8.61231909725921
original	shape	Sphericity	0.7047769456079345
original	shape	SurfaceArea	364.18628929472305
original	shape	SurfaceVolumeRatio	0.9418610930035941
original	shape	VoxelVolume	398.0
original	firstorder	10Percentile	141.0
original	firstorder	90Percentile	222.0
original	firstorder	Energy	13654407.0
original	firstorder	Entropy	2.3999537103165824
