Image type	Feature Class	Feature Name	ROI_28_segment_Mass
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.5.0
diagnostics	Versions	Python	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Wavelet': {}}
diagnostics	Image-original	Hash	a9161daae0514380624b8331751db30f706de7a1
diagnostics	Image-original	Dimensionality	3D
diagnostics	Image-original	Spacing	(0.7031, 0.7031, 2.0)
diagnostics	Image-original	Size	(512, 512, 116)
diagnostics	Image-original	Mean	53.8559961647823
diagnostics	Image-original	Minimum	0.0
diagnostics	Image-original	Maximum	1577.0
diagnostics	Mask-original	Hash	17bf0ff4bb8fe5b5ed072a39bc75f02f3fed248a
diagnostics	Mask-original	Spacing	(0.7031, 0.7031, 2.0)
diagnostics	Mask-original	Size	(512, 512, 116)
diagnostics	Mask-original	BoundingBox	(366, 279, 34, 11, 22, 3)
diagnostics	Mask-original	VoxelNum	190
diagnostics	Mask-original	VolumeNum	1
diagnostics	Mask-original	CenterOfMassIndex	(370.5473684210526, 288.18947368421055, 34.863157894736844)
diagnostics	Mask-original	CenterOfMass	(-77.95585473684216, -5.416018947368428, -53.773684210526326)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(20, 28, 17)
diagnostics	Image-interpolated	Mean	121.5608193277311
diagnostics	Image-interpolated	Minimum	0.0
diagnostics	Image-interpolated	Maximum	458.0
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(20, 28, 17)
diagnostics	Mask-interpolated	BoundingBox	(6, 7, 6, 8, 15, 6)
diagnostics	Mask-interpolated	VoxelNum	204
diagnostics	Mask-interpolated	VolumeNum	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(9.362745098039216, 12.519607843137255, 8.22549019607843)
diagnostics	Mask-interpolated	CenterOfMass	(-77.93519509803927, -5.458057843137272, -53.77450980392158)
diagnostics	Mask-interpolated	Mean	242.58823529411765
diagnostics	Mask-interpolated	Minimum	84.0
diagnostics	Mask-interpolated	Maximum	458.0
original	shape	Elongation	0.3594248364163072
original	shape	Flatness	0.3378382087420579
original	shape	LeastAxisLength	5.557453275476474
original	shape	MajorAxisLength	16.450043635294175
original	shape	Maximum2DDiameterColumn	7.810249675906654
original	shape	Maximum2DDiameterRow	13.341664064126334
original	shape	Maximum2DDiameterSlice	15.811388300841896
original	shape	Maximum3DDiameter	16.911534525287763
original	shape	MeshVolume	187.0
original	shape	MinorAxisLength	5.912554242656724
original	shape	Sphericity	0.5019017959581897
original	shape	SurfaceArea	315.0840693407683
original	shape	SurfaceVolumeRatio	1.6849415472768356
original	shape	VoxelVolume	204.0
original	firstorder	10Percentile	116.0
original	firstorder	90Percentile	379.40000000000003
original	firstorder	Energy	14053672.0
original	firstorder	Entropy	3.8165803713076003
