Image type	Feature Class	Feature Name	ROI_45_segment_Mass
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.5.0
diagnostics	Versions	Python	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Wavelet': {}}
diagnostics	Image-original	Hash	0c0846eb698235635e39f6f2339523b3dc090343
diagnostics	Image-original	Dimensionality	3D
diagnostics	Image-original	Spacing	(0.6641, 0.6641, 2.1)
diagnostics	Image-original	Size	(512, 512, 116)
diagnostics	Image-original	Mean	60.14860560976226
diagnostics	Image-original	Minimum	-70.0
diagnostics	Image-original	Maximum	1326.0
diagnostics	Mask-original	Hash	f75bde0c3149efac195126c1cf4fa7164b1b777e
diagnostics	Mask-original	Spacing	(0.6641, 0.6641, 2.1)
diagnostics	Mask-original	Size	(512, 512, 116)
diagnostics	Mask-original	BoundingBox	(121, 336, 48, 33, 46, 11)
diagnostics	Mask-original	VoxelNum	3102
diagnostics	Mask-original	VolumeNum	15
diagnostics	Mask-original	CenterOfMassIndex	(137.6621534493875, 360.0041908446164, 53.93584784010316)
diagnostics	Mask-original	CenterOfMass	(76.01456389426177, -64.53278313990972, -3.581719535783364)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(33, 43, 35)
diagnostics	Image-interpolated	Mean	138.05313601127554
diagnostics	Image-interpolated	Minimum	6.0
diagnostics	Image-interpolated	Maximum	431.0
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(33, 43, 35)
diagnostics	Mask-interpolated	BoundingBox	(5, 6, 7, 22, 31, 23)
diagnostics	Mask-interpolated	VoxelNum	3064
diagnostics	Mask-interpolated	VolumeNum	7
diagnostics	Mask-interpolated	CenterOfMassIndex	(16.300913838120106, 21.944843342036553, 19.890992167101828)
diagnostics	Mask-interpolated	CenterOfMass	(75.96713616187989, -64.56679334203655, -3.506007832898163)
diagnostics	Mask-interpolated	Mean	283.1870104438642
diagnostics	Mask-interpolated	Minimum	102.0
diagnostics	Mask-interpolated	Maximum	431.0
original	shape	Elongation	0.7786301985109526
original	shape	Flatness	0.7327472407805776
original	shape	LeastAxisLength	18.216471459545556
original	shape	MajorAxisLength	24.8605118459948
original	shape	Maximum2DDiameterColumn	25.238858928247925
original	shape	Maximum2DDiameterRow	30.14962686336267
original	shape	Maximum2DDiameterSlice	31.25699921617557
original	shape	Maximum3DDiameter	31.591137997862628
original	shape	MeshVolume	2967.9583333333335
original	shape	MinorAxisLength	19.357145273730822
original	shape	Sphericity	0.36109436137255085
original	shape	SurfaceArea	2765.8924200207857
original	shape	SurfaceVolumeRatio	0.9319175370344212
original	shape	VoxelVolume	3064.0
original	firstorder	10Percentile	200.3
original	firstorder	90Percentile	368.0
original	firstorder	Energy	257687217.0
original	firstorder	Entropy	3.3452395138036497
